"id","savedTime","transactionTime","employee","total","lotName","spotType","orderType","transactionType","barcode"
"1b6e94f0-d8b9-4275-a3b1-80977f27a558","2015-05-13T16:37:38.599Z","2015-05-13T16:37:38.706Z","undefined undefined",1,"-","Overflow","prime","cash"," "
"7bc153d9-8a68-4d75-b0ca-6a7bdae6a09a","2015-05-13T16:38:28.400Z","2015-05-13T16:38:28.470Z","undefined undefined",1,"-","Regular","prime","credit"," "
"125a743f-2636-4d07-a120-6cb9947c3196","2015-05-13T16:42:29.312Z","2015-05-13T16:42:29.509Z","undefined undefined",1,"-","Overflow","prime","prepaid","021136010374"
"77aee5e2-e2ab-45af-a64b-08bd38d33682","2015-05-14T04:01:01.790Z","2015-05-14T04:01:01.863Z","John Doe",1,"ParkHub Test Lot 1","Overflow","prime","cash"," "
"2ba76214-c9e6-4880-a8df-5e35abc0051c","2015-05-14T04:06:36.556Z","2015-05-14T04:06:36.742Z","John Doe",1,"ParkHub Test Lot 1","Overflow","prime","cash"," "
"23146e84-a2cc-4536-af7f-3e38d7448757","2015-05-14T04:06:43.375Z","2015-05-14T04:06:43.467Z","John Doe",1,"ParkHub Test Lot 1","Overflow","prime","prepaid","052548240813"
"42b81e28-5b5f-488a-bbfd-48622d1de852","2015-05-14T04:06:47.093Z","2015-05-14T04:06:47.163Z","John Doe",1,"ParkHub Test Lot 1","Overflow","prime","prepaid","052548240813"
"8df2263c-672c-4ddf-8b35-fef0f7ba83ec","2015-05-14T04:06:53.450Z","2015-05-14T04:06:53.534Z","John Doe",1,"ParkHub Test Lot 1","Regular","prime","cash"," "
"351e265c-bcb9-40fc-a1a6-8e2530f4862c","2015-05-14T04:07:24.386Z","2015-05-14T04:07:24.891Z","John Doe",1,"ParkHub Test Lot 1","Regular","prime","cash"," "
"3e682a3f-2a74-4405-970d-a280b39dbcf7","2015-05-14T04:08:25.131Z","2015-05-14T04:08:25.878Z","John Doe",1,"ParkHub Test Lot 1","Regular","prime","prepaid","052548240813"
"0077a92d-7d81-4fbe-a99f-4f09cf9d652d","2015-05-14T04:08:33.398Z","2015-05-14T04:08:33.455Z","John Doe",1,"ParkHub Test Lot 1","Regular","prime","cash"," "
"12ee968a-3fe4-4ad5-bf0d-11619b06af86","2015-05-14T04:08:38.151Z","2015-05-14T04:08:38.220Z","John Doe",1,"ParkHub Test Lot 1","Regular","prime","cash"," "
"ae7464f6-b58f-460b-b4a7-3de7b26affa7","2015-05-14T04:08:43.200Z","2015-05-14T04:08:43.263Z","John Doe",1,"ParkHub Test Lot 1","Regular","prime","cash"," "
